@ NAME             %8s "SQSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SQS01    I_SQS10    I_SQS11    I_SQS12    I_SQS13    I_SQS14    I_SQS15    I_SQS16    I_SQS17    I_SQS18    I_SQS19    I_SQS02    I_SQS20    I_SQS21    I_SQS22    I_SQS23    I_SQS24    I_SQS03    I_SQS04    I_SQS05    I_SQS06    I_SQS07    I_SQS08    I_SQS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           12.440000  -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   -2.239280e-01   
           13.260000  -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   -3.244800e-01   
           14.080000  -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   -5.592733e-01   
           14.890000  -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   -2.533889e-01   
           15.700000  -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   -1.113000e-01   
           16.510000  8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   8.878125e-02   
           17.310000  5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   5.768829e-01   
           19.710000  2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   2.474543e+00   
           20.510000  2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   2.107120e+00   
           21.310000  1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   1.579150e+00   
