@ NAME             %7s "VSTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_VS01    I_VS10    I_VS11    I_VS12    I_VS13    I_VS14    I_VS15    I_VS16    I_VS17    I_VS18    I_VS19    I_VS02    I_VS20    I_VS21    I_VS22    I_VS23    I_VS24    I_VS03    I_VS04    I_VS05    I_VS06    I_VS07    I_VS08    I_VS09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           13.260000  1.653986e+00   -1.857788e+01   9.164686e-01   -2.192556e+01   -1.157444e+01   -1.970706e+01   -2.586266e+01   -2.231218e+01   -1.556486e+00   -3.903894e+00   -9.263360e-02   -1.801424e+01   -9.169410e+00   -7.209868e+00   -1.161725e+01   -8.634770e+00   -1.304775e+01   -8.533460e+00   -3.933212e+00   -1.423482e+01   -2.093188e+01   8.225444e+00   5.610014e+00   6.469408e+00   
           14.080000  2.548688e+00   -1.975704e+01   8.743288e-01   -2.324248e+01   -1.201675e+01   -2.145448e+01   -2.724928e+01   -2.292144e+01   -2.576880e-01   -3.204352e+00   -3.548800e-03   -1.729592e+01   -1.003328e+01   -7.785344e+00   -1.258723e+01   -9.774160e+00   -1.416123e+01   -5.885680e+00   -3.159296e+00   -1.557494e+01   -2.243904e+01   8.257752e+00   6.437312e+00   6.658664e+00   
           14.890000  3.432479e+00   -2.092182e+01   8.327029e-01   -2.454334e+01   -1.245367e+01   -2.318059e+01   -2.861899e+01   -2.352327e+01   1.025271e+00   -2.513341e+00   8.444960e-02   -1.658636e+01   -1.088661e+01   -8.353802e+00   -1.354538e+01   -1.089965e+01   -1.526113e+01   -3.270190e+00   -2.394818e+00   -1.689873e+01   -2.392782e+01   8.289666e+00   7.254521e+00   6.845612e+00   
           15.700000  4.316270e+00   -2.208660e+01   7.910770e-01   -2.584420e+01   -1.289058e+01   -2.490670e+01   -2.998870e+01   -2.412510e+01   2.308230e+00   -1.822330e+00   1.724480e-01   -1.587680e+01   -1.173995e+01   -8.922260e+00   -1.450353e+01   -1.202515e+01   -1.636103e+01   -6.547000e-01   -1.630340e+00   -1.822251e+01   -2.541660e+01   8.321580e+00   8.071730e+00   7.032560e+00   
           16.510000  5.200061e+00   -2.325138e+01   7.494511e-01   -2.714506e+01   -1.332749e+01   -2.663281e+01   -3.135841e+01   -2.472693e+01   3.591189e+00   -1.131319e+00   2.604464e-01   -1.516724e+01   -1.259328e+01   -9.490718e+00   -1.546168e+01   -1.315064e+01   -1.746093e+01   1.960790e+00   -8.658620e-01   -1.954629e+01   -2.690538e+01   8.353494e+00   8.888939e+00   7.219508e+00   
           17.310000  6.072941e+00   -2.440178e+01   7.083391e-01   -2.842986e+01   -1.375901e+01   -2.833761e+01   -3.271121e+01   -2.532133e+01   4.858309e+00   -4.488390e-01   3.473584e-01   -1.446644e+01   -1.343608e+01   -1.005216e+01   -1.640800e+01   -1.426224e+01   -1.854725e+01   4.543990e+00   -1.108220e-01   -2.085373e+01   -2.837578e+01   8.385014e+00   9.696059e+00   7.404148e+00   
           19.710000  8.691581e+00   -2.785298e+01   5.850031e-01   -3.228426e+01   -1.505357e+01   -3.345201e+01   -3.676961e+01   -2.710453e+01   8.659669e+00   1.598601e+00   6.080944e-01   -1.236404e+01   -1.596448e+01   -1.173648e+01   -1.924696e+01   -1.759704e+01   -2.180621e+01   1.229359e+01   2.154298e+00   -2.477605e+01   -3.278698e+01   8.479574e+00   1.211742e+01   7.958068e+00   
           20.510000  8.671018e+00   -2.860702e+01   6.040107e-01   -3.114682e+01   -1.319720e+01   -3.260158e+01   -3.594327e+01   -2.762770e+01   8.965873e+00   2.558470e+00   1.202742e+00   -1.099650e+01   -1.656622e+01   -1.260045e+01   -2.013952e+01   -1.857460e+01   -2.242907e+01   1.415395e+01   2.477682e+00   -2.535285e+01   -3.284103e+01   8.474553e+00   1.159774e+01   8.278937e+00   
           21.310000  8.142418e+00   -2.913569e+01   6.572041e-01   -2.863202e+01   -1.003987e+01   -3.029818e+01   -3.387780e+01   -2.811037e+01   8.725673e+00   3.676070e+00   2.086102e+00   -9.249833e+00   -1.703089e+01   -1.363645e+01   -2.100152e+01   -1.947593e+01   -2.278841e+01   1.560328e+01   2.555616e+00   -2.551418e+01   -3.208969e+01   8.448753e+00   1.032361e+01   8.677271e+00   
           22.110000  7.613818e+00   -2.966436e+01   7.103974e-01   -2.611722e+01   -6.882533e+00   -2.799478e+01   -3.181233e+01   -2.859303e+01   8.485473e+00   4.793670e+00   2.969462e+00   -7.503167e+00   -1.749556e+01   -1.467245e+01   -2.186352e+01   -2.037727e+01   -2.314774e+01   1.705262e+01   2.633549e+00   -2.567552e+01   -3.133836e+01   8.422953e+00   9.049473e+00   9.075604e+00   
           22.910000  7.085218e+00   -3.019302e+01   7.635907e-01   -2.360242e+01   -3.725200e+00   -2.569138e+01   -2.974687e+01   -2.907570e+01   8.245273e+00   5.911270e+00   3.852822e+00   -5.756500e+00   -1.796022e+01   -1.570845e+01   -2.272552e+01   -2.127860e+01   -2.350707e+01   1.850195e+01   2.711482e+00   -2.583685e+01   -3.058703e+01   8.397153e+00   7.775340e+00   9.473937e+00   
           23.700000  6.563225e+00   -3.071508e+01   8.161192e-01   -2.111905e+01   -6.073333e-01   -2.341678e+01   -2.770722e+01   -2.955233e+01   8.008075e+00   7.014900e+00   4.725140e+00   -4.031667e+00   -1.841908e+01   -1.673150e+01   -2.357675e+01   -2.216867e+01   -2.386192e+01   1.993317e+01   2.788442e+00   -2.599617e+01   -2.984508e+01   8.371675e+00   6.517133e+00   9.867292e+00   
           24.500000  6.034625e+00   -3.124375e+01   8.693125e-01   -1.860425e+01   2.550000e+00   -2.111338e+01   -2.564175e+01   -3.003500e+01   7.767875e+00   8.132500e+00   5.608500e+00   -2.285000e+00   -1.888375e+01   -1.776750e+01   -2.443875e+01   -2.307000e+01   -2.422125e+01   2.138250e+01   2.866375e+00   -2.615750e+01   -2.909375e+01   8.345875e+00   5.243000e+00   1.026562e+01   
           25.290000  5.512633e+00   -3.176581e+01   9.218409e-01   -1.612089e+01   5.667867e+00   -1.883877e+01   -2.360210e+01   -3.051163e+01   7.530678e+00   9.236130e+00   6.480818e+00   -5.601667e-01   -1.934261e+01   -1.879055e+01   -2.528997e+01   -2.396007e+01   -2.457609e+01   2.281372e+01   2.943334e+00   -2.631682e+01   -2.835181e+01   8.320398e+00   3.984793e+00   1.065898e+01   
           26.090000  4.984033e+00   -3.229447e+01   9.750342e-01   -1.360609e+01   8.825200e+00   -1.653537e+01   -2.153664e+01   -3.099430e+01   7.290478e+00   1.035373e+01   7.364178e+00   1.186500e+00   -1.980727e+01   -1.982655e+01   -2.615197e+01   -2.486140e+01   -2.493542e+01   2.426305e+01   3.021267e+00   -2.647815e+01   -2.760048e+01   8.294598e+00   2.710660e+00   1.105731e+01   
           26.880000  4.462040e+00   -3.281653e+01   1.027563e+00   -1.112272e+01   1.194307e+01   -1.426076e+01   -1.949699e+01   -3.147093e+01   7.053280e+00   1.145736e+01   8.236496e+00   2.911333e+00   -2.026613e+01   -2.084960e+01   -2.700320e+01   -2.575147e+01   -2.529027e+01   2.569427e+01   3.098227e+00   -2.663747e+01   -2.685853e+01   8.269120e+00   1.452453e+00   1.145067e+01   
           27.670000  3.940048e+00   -3.333859e+01   1.080091e+00   -8.639355e+00   1.506093e+01   -1.198615e+01   -1.745734e+01   -3.194757e+01   6.816083e+00   1.256099e+01   9.108814e+00   4.636167e+00   -2.072499e+01   -2.187265e+01   -2.785442e+01   -2.664153e+01   -2.564511e+01   2.712548e+01   3.175186e+00   -2.679678e+01   -2.611659e+01   8.243642e+00   1.942467e-01   1.184402e+01   
           28.460000  3.418055e+00   -3.386065e+01   1.132619e+00   -6.155990e+00   1.817880e+01   -9.711545e+00   -1.541769e+01   -3.242420e+01   6.578885e+00   1.366462e+01   9.981132e+00   6.361000e+00   -2.118385e+01   -2.289570e+01   -2.870565e+01   -2.753160e+01   -2.599995e+01   2.855670e+01   3.252145e+00   -2.695610e+01   -2.537465e+01   8.218165e+00   -1.063960e+00   1.223737e+01   
           29.250000  2.896063e+00   -3.438271e+01   1.185148e+00   -3.672625e+00   2.129667e+01   -7.436938e+00   -1.337804e+01   -3.290083e+01   6.341688e+00   1.476825e+01   1.085345e+01   8.085833e+00   -2.164271e+01   -2.391875e+01   -2.955687e+01   -2.842167e+01   -2.635479e+01   2.998792e+01   3.329104e+00   -2.711542e+01   -2.463271e+01   8.192688e+00   -2.322167e+00   1.263073e+01   
