@ NAME             %8s "SSLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SSL01    I_SSL10    I_SSL11    I_SSL12    I_SSL13    I_SSL14    I_SSL15    I_SSL16    I_SSL17    I_SSL18    I_SSL19    I_SSL02    I_SSL20    I_SSL21    I_SSL22    I_SSL23    I_SSL24    I_SSL03    I_SSL04    I_SSL05    I_SSL06    I_SSL07    I_SSL08    I_SSL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           12.440000  -4.773488e-01   -5.212941e-01   -4.553762e-01   -4.858938e-01   -4.773488e-01   -5.151906e-01   -5.200734e-01   -4.895559e-01   -4.919973e-01   -5.225148e-01   -5.139699e-01   -5.151906e-01   -4.504934e-01   -4.736867e-01   -5.212941e-01   -4.553762e-01   -4.858938e-01   -5.103078e-01   -4.895559e-01   -4.919973e-01   -5.225148e-01   -5.139699e-01   -4.504934e-01   -4.736867e-01   
           13.260000  -3.096255e-01   -3.535708e-01   -2.876528e-01   -3.181704e-01   -3.096255e-01   -3.474673e-01   -3.523501e-01   -3.218325e-01   -3.242739e-01   -3.547915e-01   -3.462466e-01   -3.474673e-01   -2.827700e-01   -3.059634e-01   -3.535708e-01   -2.876528e-01   -3.181704e-01   -3.425845e-01   -3.218325e-01   -3.242739e-01   -3.547915e-01   -3.462466e-01   -2.827700e-01   -3.059634e-01   
           14.080000  -1.617522e-01   -2.056975e-01   -1.397795e-01   -1.702971e-01   -1.617522e-01   -1.995940e-01   -2.044768e-01   -1.739592e-01   -1.764006e-01   -2.069182e-01   -1.983733e-01   -1.995940e-01   -1.348967e-01   -1.580901e-01   -2.056975e-01   -1.397795e-01   -1.702971e-01   -1.947111e-01   -1.739592e-01   -1.764006e-01   -2.069182e-01   -1.983733e-01   -1.348967e-01   -1.580901e-01   
           14.890000  -8.037717e-03   -5.198303e-02   1.393494e-02   -1.658264e-02   -8.037717e-03   -4.587951e-02   -5.076233e-02   -2.024475e-02   -2.268615e-02   -5.320373e-02   -4.465881e-02   -4.587951e-02   1.881775e-02   -4.375608e-03   -5.198303e-02   1.393494e-02   -1.658264e-02   -4.099670e-02   -2.024475e-02   -2.268615e-02   -5.320373e-02   -4.465881e-02   1.881775e-02   -4.375608e-03   
           15.700000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           16.510000  -1.758383e-02   -6.152914e-02   4.388828e-03   -2.612875e-02   -1.758383e-02   -5.542562e-02   -6.030844e-02   -2.979086e-02   -3.223227e-02   -6.274984e-02   -5.420492e-02   -5.542562e-02   9.271641e-03   -1.392172e-02   -6.152914e-02   4.388828e-03   -2.612875e-02   -5.054281e-02   -2.979086e-02   -3.223227e-02   -6.274984e-02   -5.420492e-02   9.271641e-03   -1.392172e-02   
           17.310000  -3.294883e-02   -7.689414e-02   -1.097617e-02   -4.149375e-02   -3.294883e-02   -7.079062e-02   -7.567344e-02   -4.515586e-02   -4.759727e-02   -7.811484e-02   -6.956992e-02   -7.079062e-02   -6.093359e-03   -2.928672e-02   -7.689414e-02   -1.097617e-02   -4.149375e-02   -6.590781e-02   -4.515586e-02   -4.759727e-02   -7.811484e-02   -6.956992e-02   -6.093359e-03   -2.928672e-02   
           19.710000  -1.294542e-03   -4.523985e-02   2.067811e-02   -9.839464e-03   -1.294542e-03   -3.913634e-02   -4.401915e-02   -1.350157e-02   -1.594298e-02   -4.646056e-02   -3.791564e-02   -3.913634e-02   2.556093e-02   2.367567e-03   -4.523985e-02   2.067811e-02   -9.839464e-03   -3.425353e-02   -1.350157e-02   -1.594298e-02   -4.646056e-02   -3.791564e-02   2.556093e-02   2.367567e-03   
           20.510000  -4.882812e-05   -4.399414e-02   2.192383e-02   -8.593750e-03   -4.882812e-05   -3.789062e-02   -4.277344e-02   -1.225586e-02   -1.469727e-02   -4.521484e-02   -3.666992e-02   -3.789062e-02   2.680664e-02   3.613281e-03   -4.399414e-02   2.192383e-02   -8.593750e-03   -3.300781e-02   -1.225586e-02   -1.469727e-02   -4.521484e-02   -3.666992e-02   2.680664e-02   3.613281e-03   
           21.310000  7.101172e-03   -3.684414e-02   2.907383e-02   -1.443750e-03   7.101172e-03   -3.074063e-02   -3.562344e-02   -5.105859e-03   -7.547266e-03   -3.806484e-02   -2.951992e-02   -3.074063e-02   3.395664e-02   1.076328e-02   -3.684414e-02   2.907383e-02   -1.443750e-03   -2.585781e-02   -5.105859e-03   -7.547266e-03   -3.806484e-02   -2.951992e-02   3.395664e-02   1.076328e-02   
           22.110000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           22.910000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           23.700000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           24.500000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           25.290000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           26.090000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           26.880000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           27.670000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           28.460000  1.095117e-02   -3.299414e-02   3.292383e-02   2.406250e-03   1.095117e-02   -2.689062e-02   -3.177344e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   -2.689062e-02   3.780664e-02   1.461328e-02   -3.299414e-02   3.292383e-02   2.406250e-03   -2.200781e-02   -1.255859e-03   -3.697266e-03   -3.421484e-02   -2.566992e-02   3.780664e-02   1.461328e-02   
           29.250000  6.734505e-03   -3.721081e-02   2.870716e-02   -1.810417e-03   6.734505e-03   -3.110729e-02   -3.599010e-02   -5.472526e-03   -7.913932e-03   -3.843151e-02   -2.988659e-02   -3.110729e-02   3.358997e-02   1.039661e-02   -3.721081e-02   2.870716e-02   -1.810417e-03   -2.622448e-02   -5.472526e-03   -7.913932e-03   -3.843151e-02   -2.988659e-02   3.358997e-02   1.039661e-02   
