@ NAME             %8s "SQLTABLE"
@ TYPE             %04s "USER"
@ TITLE            %20s "FNAL Booster lattice"
@ ORIGIN           %24s "MAD-X 5.01.00 Windows 32"
@ DATE             %08s "24/03/13"
@ TIME             %08s "22.38.54"
*          TIME       I_SQL01    I_SQL10    I_SQL11    I_SQL12    I_SQL13    I_SQL14    I_SQL15    I_SQL16    I_SQL17    I_SQL18    I_SQL19    I_SQL02    I_SQL20    I_SQL21    I_SQL22    I_SQL23    I_SQL24    I_SQL03    I_SQL04    I_SQL05    I_SQL06    I_SQL07    I_SQL08    I_SQL09    
$          %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        %le        
           12.440000  -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   -2.885240e-01   
           13.260000  -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   -1.085867e+00   
           14.080000  -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   -1.179711e+00   
           14.890000  -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   -1.019787e+00   
           15.700000  -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   -9.085100e-01   
           16.510000  -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   -8.517575e-01   
           17.310000  -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   -5.995786e-01   
           19.710000  1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   1.139260e+00   
           20.510000  5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   5.367920e-01   
           21.310000  3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   3.329625e-02   
           22.110000  -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   -9.945000e-03   
           22.910000  2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   2.073367e-01   
           23.700000  8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   8.238000e-01   
           24.500000  1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   1.296235e+00   
           25.290000  1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   1.312965e+00   
           26.090000  1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   1.323339e+00   
           26.880000  1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   1.282429e+00   
           27.670000  1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   1.241518e+00   
           28.460000  1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   1.200607e+00   
           29.250000  1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   1.181875e+00   
