B:SEXL4  =  15.26 AMPS
B:SEXL5  =  11.3  AMPS
B:SEXL6  =  2.723 AMPS
B:SEXL7  =  .7425 AMPS
 
B:DOGL3  =  295.2 AMPS
 
B:ORBMPI =  13070 Amps
 
B:OCTT   Time Table 1
           X	   Y
         19.34	-8.909
         19.72	 2.872
         20.28	 3.456
         20.7 	 3.93 
         21.51	-17.83
         21.99	-19.36
         22.55	-18.16
         23.32	-18.22
         24.17	-18.22
         24.67	-18.22
         25.17	-18.22
         25.77	-18.22
         26.57	-18.22
         27.07	-18.22
         27.87	-18.22
         28.77	-18.22
         29.77	-19.3 
         30.55	-19.44
         31.34	-19.51
         32.24	-19.51
         32.74	-19.51
         33.14	-19.51
         33.73	-19.51
         34.73	-19.51
         35.43	-19.51
         36.33	-19.51
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    

B:QL1Ooffset= 1.4837646484
 
 
B:QL2T   Time Table 1
           X	   Y
         .1   	 .3491
         .51  	 .0436
         1.01 	-.3809
         1.45 	-.5217
         1.91 	-1.028
         2.19 	-.8887
         2.89 	-.9462
         3.69 	-1.147
         4.59 	-1.351
         5.59 	-1.533
         6.49 	-1.738
         7.29 	-1.68 
         8.09 	-1.726
         8.59 	-2.839
         8.99 	-2.964
         9.59 	-2.674
         10.59	-2.668
         11.29	-2.668
         12.19	-2.751
         13.19	-2.751
         14.09	-2.769
         14.99	-2.958
         15.99	-3.098
         16.79	-3.588
         17.49	-5.792
         17.79	-8.954
         18.59	-10.87
         19.09	-9.69 
         19.34	-8.909
         19.72	 2.872
         20.28	 3.456
         20.7 	 3.93 
         21.51	-17.83
         21.99	-19.36
         22.55	-18.16
         23.32	-18.22
         24.17	-18.22
         24.67	-18.22
         25.17	-18.22
         25.77	-18.22
         26.57	-18.22
         27.07	-18.22
         27.87	-18.22
         28.77	-18.22
         29.77	-19.3 
         30.55	-19.44
         31.34	-19.51
         32.24	-19.51
         32.74	-19.51
         33.14	-19.51
         33.73	-19.51
         34.73	-19.51
         35.43	-19.51
         36.33	-19.51
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    
         37.33	 0    
